id,incident_title,incident_description,incident_date,location_id,location_name,latitude,longitude,country_id,category_id,category_title,building,landmark,area,city,state,country
18,"Sexual Invite","A man walked with me for 5 minutes with his hands inside his pants and trying to show me his dick! ass*&^@ .. I ran for my life till I saw a shop and called someone to come and pick me up from there.","25-12-2012 01:50",18,"Nehru Place, New Delhi, Delhi 110048, India",28.551478,77.251543,105,10,"Sexual Invites",,110019,"Nehru Place","New Delhi",Delhi,India
23,"Commenting at Bandra West","Some guys enjoy passing comments at women looking for auto-rickshaws in the evening.","25-12-2012 01:48",23,"Bandra West, Mumbai, Maharashtra, India",19.055229,72.830829,105,2,Commenting,,400050,"Bandra West",Mumbai,Maharashtra,India
31,"Chain snatching","My 86 year old mother was attacked by a chain snatcher in our building on 3 December 2012. In the scuffle, she fell down and fractured her thigh bone.","26-12-2012 01:07",31,"Gagandeep, Yadav Nagar, Mumbai, Maharashtra",19.113996,72.836565,105,15,Others,,400047,"Juhu Scheme",Mumbai,Maharashtra,India
32,"Commenting and Harrasing","Young boys around 12 to 14 years in Jankalyan area just outside our building make lewd comments and try to touch women. They usually are from the Malwani area , they thrive in groups and pass comments, make hand gestures.  I experienced the same and reported it to a cop, who tracked them down and thrashed them. I think we need to raise our voice and report to the authorities which should act in discouraging such young boys to get into these kinds of acts.","26-12-2012 01:19",32,"JanKalyan Nagar, Malad West, Mumbai, Maharashtra, India.",19.200527,72.82042,105,2,Commenting,,400095,"Divya Park",Mumbai,Maharashtra,India
33,"Chain snatching and theft","In Dombivili, most of the families consists of middle class and below categories of families. Most the people travel towards Mumbai Main city for their livelihood. Hence during daytime especially afternoon, only women, elderly or children are there at home, hence making homes and people vulnerable. There is increasing number of theft and chainsnatching instances during afternoons, when women bring children home from schools. Thieves have become so brazen, that they keep watch on societies and snatch chains from within society compounds!!","26-12-2012 10:36",33,"Dombivli, Maharashtra, India",19.209401,73.093948,105,15,Others,,421201,Gograswadi,Dombivli,Maharashtra,India
34,"Sexual Invite","Late evening (around 7.30 pm) after shopping in the up market - South Extn locality in Delhi, I was trying to look for an auto to go back home. As the traffic was at its peak, I could not get any so I started walking towards the flyover in the hope that I would get one at the T point. This patch is a little deserted but has a lot of traffic. Mysteriously a lot of passing vehicles started to slow down near me as if asking for directions. After 2 vehicles I realized that most of these vehicles were single men driving big cars. These well educated men in big cars, on seeing a woman walking on the road alone at 7.30 could only think of two things - ""She is a hooker""...or she is alone therefore ""available"". Felt sick and so vulnerable!","26-12-2012 01:56",34,"South Extension, Mahatma Gandhi Marg,  Delhi",28.568814,77.220565,105,10,"Sexual Invites",,110049,"Block G","New Delhi",Delhi,India
35,"Sandhurst Road station, Dockyard Road station, Sewri","Stations are dark, no lights inside the platform. Very deserted area, without any police presence","26-12-2012 10:45",35,"Sandhurst Road, Dr Meisheri Road, Umerkhadi, Mumbai, Maharashtra, India",18.96149,72.839962,105,15,Others,,400009,"Noor Baug",Mumbai,Maharashtra,India
36,"Pitampura, Bus stand","Comments were passed when I was waiting for my bus.","26-12-2012 17:57",36,"New Delhi Railway Station",28.64197,77.2206,105,2,Commenting,,110001,"Ajmeri Gate","New Delhi",Delhi,India
37,Molestation,"Molestation of a woman on bike with her husband, by a group in a car","24-12-2012 00:30",37,"Ghodbunder, Sanjay Gandhi National Park, Mira Bhayandar, Maharashtra",19.284669,72.904947,105,11,"Rape / Sexual Assault",,401107,Versova,"Mira Bhayandar",Maharashtra,India
38,"Sexual invite","I was driving on my two-wheeler when an uncle passing on a scooter nearby commented to give him a blow job.","23-03-2012 18:58",38,"Big Cinemas, City Centre Mall, Bathinda",28.57678,77.336903,105,"2 | 10","Commenting | Sexual Invites",,201301,D-Block,Noida,"Uttar Pradesh",India
39,"Woman allegedly raped, male colleague beaten mercilessly in Gujarat","A 37-year-old widow was allegedly raped on Tuesday night by two unidentified people even as her male colleague was stripped and beaten mercilessly, the police said on Wednesday.An Unjha police official said the woman and the man were talking to each other sitting in a vehicle when the two men arrived on their two-wheeler and threatened the woman's colleague with a knife.The duo then allegedly stripped the man and beat him, the police said, adding one of the two assaulters then tied the woman's hands and legs with her sari before both of them took turns to allegedly rape her.","26-12-2012 13:11",39,"Unjha, Gujarat, India",23.803571,72.397926,105,11,"Rape / Sexual Assault",,384170,Khajuripole,Unjha,Gujarat,India
40,"Retard commenting","I just stepped out of office to buy some munches and a stupid roadside stranger started passing comments like 'saman leke kidhar ka rahi ho'","27-12-2012 01:49",40,"Kalkaji, New Delhi, Delhi, India",28.542735,77.259194,105,2,Commenting,,110019,"Kalkaji Extension","New Delhi",Delhi,India
41,"UP rape victim raped by cops probing case","A gang-rape victim from Uttar Pradesh's Ambedkar Nagar, who was again violated by the investigating officer (IO) probing her case, has now alleged that she was also raped by the inspector in charge of the police station where she had lodged her complaint.","27-12-2012 01:14",41,"Lucknow, Uttar Pradesh, India",26.846511,80.946683,105,11,"Rape / Sexual Assault",,226002,"Sadar Bazaar",Lucknow,"Uttar Pradesh",India
48,"Indecent exposure to unsuspecting teenage girls","I was a young girl in 9th standard, playing in the streets of some residential area with a bunch of friends. A man, possibly in late 30s or early 40s, riding a scooter came close to where we were. After a moment, we realized the zipper on his trouser was open and he was possibly stroking himself, in full view of a group of 3-4 teenage girls. We were shocked and hurried into our houses. Only after a few minutes of silence we realized what had just occurred and vowed to take down the registration number of the vehicle the next time this happened. We never got the chance.","27-05-2006 18:00",48,"Chandigarh, India",30.733315,76.779418,105,9,"Indecent exposure",,160022,"Sector 18D",Chandigarh,Chandigarh,India
49,"New Delhi Railway Station Indecent comments","The following is what i had written a day after this horrific experience 2-3 years back.""Teri chut lene me maza aa jaega"" he said to me. Maybe it is my fault. I never should have known what that means. And I replied with ""mar ja jake"", my voice quivering. And as with every sharp exchange of words, later, for quite some time I thought of better responses I could've given. ""Police ke pass chalega? mujhe bhi maza aa jaega.."" or ""…""; well thoughts I am still not able to put into words. Suddenly I was given a glimpse of what it would feel like to be a rape victim. It probably would be too clichéd to say that I suddenly felt exposed to everyone around me. At the same I could see indifference in many eyes around me. They knew not what had just happened in the middle of the road, in broad daylight (please note that I am still speaking like a rape victim). I saw a mother with a daughter probably 8-10 years old with her. The gap of about 1m between them made me feel insecure for them. I wanted to shout out to the mother to grasp her daughter's hand and hold her close. And I suddenly understood why mothers are so protective. I knew he was still somewhere around me. Watching. Loving and getting high on the reaction he'd caused in me. This thought made me lighten up. I didn’t want to give him the satisfaction. I looked around cheerily again. Well not really, just normal enough. All the men around me suddenly seemed to be leering. A casual glance felt like a perverted gaze. I wished my pick-up to be here already. The stupid 20 something year olds that I have encountered in-numerous times suddenly began to seem threatening. Who am I to judge? I know sex addicts. I have 1st hand experience with them and their lust and what their addiction does to people around them. Suddenly a thought comes to me. He had guts. I mean at this stage in his addiction (I’m assuming that I am not blunderously attractive and he just says this kind of thing to young girls), he probably does it out of compulsion, but he must have started somewhere. I don’t know a single person who would say out loud something like this, even in a relationship, during a naughty role play night. This I believe is tougher than proposing to a girl. Or maybe it isn’t for him. Maybe he was brought up in a family in which an angry father told his daughter off with heavy abuses, the mother was openly told by the father that she is to pleasure him tonight, the siblings would call each other swear words involving their mother, the sister was casually called “prostitute” and told to do things wives are fit for.PS: Please note that the date n time are approximates.","15-06-2009 11:07",49,"New Delhi Railway Station, Connaught Place, New Delhi, Delhi 110006, India",28.64197,77.2206,105,"2 | 10","Commenting | Sexual Invites",,110001,"Ajmeri Gate","New Delhi",Delhi,India
